"ROUTE_ID","STOP_ID","SCHEDULED","REAL_TIME","DELAY"
"E","RSMA01","2012-10-01 10:19:52 AM","2012-10-01 10:20:35 AM","0.72"
"E","CLGE01","2012-10-01 10:20:40 AM","2012-10-01 10:21:25 AM","0.75"
"E","BELL01","2012-10-01 10:21:41 AM","2012-10-01 10:22:30 AM","0.82"
"E","BOCA01","2012-10-01 10:22:40 AM","2012-10-01 10:23:14 AM","0.57"
"E","BISE01","2012-10-01 10:24:14 AM","2012-10-01 10:24:19 AM","0.08"
"E","VSNA01","2012-10-01 10:25:20 AM","2012-10-01 10:25:52 AM","0.53"
"E","BLTE01","2012-10-01 10:26:40 AM","2012-10-01 10:27:15 AM","0.58"
"E","BOIS01","2012-10-01 10:27:09 AM","2012-10-01 10:27:33 AM","0.4"
"E","RUTH01","2012-10-01 10:28:37 AM","2012-10-01 10:28:27 AM","-0.17"
"E","TCRE01","2012-10-01 10:29:13 AM","2012-10-01 10:28:49 AM","-0.4"
"E","MGRE01","2012-10-01 10:30:00 AM","2012-10-01 10:29:29 AM","-0.52"
"E","CRIG01","2012-10-01 10:31:14 AM","2012-10-01 10:30:27 AM","-0.78"
"E","PLGE03","2012-10-01 10:32:20 AM","2012-10-01 10:33:06 AM","0.77"
"E","AUBI00","2012-10-01 10:36:28 AM","2012-10-01 10:35:46 AM","-0.7"
"E","VOLL00","2012-10-01 10:37:15 AM","2012-10-01 10:36:37 AM","-0.63"
"E","RLAC00","2012-10-01 10:38:29 AM","2012-10-01 10:38:11 AM","-0.3"
"E","PLEV00","2012-10-01 10:39:27 AM","2012-10-01 10:41:11 AM","1.73"
"E","RIVE04","2012-10-01 10:40:20 AM","2012-10-01 10:43:22 AM","3.03"
"E","RIVE03","2012-10-01 11:03:00 AM","2012-10-01 11:03:26 AM","0.43"
"E","VOLL02","2012-10-01 11:04:41 AM","2012-10-01 11:05:47 AM","1.1"
"E","PLGE01","2012-10-01 11:08:00 AM","2012-10-01 11:08:11 AM","0.18"
"E","CRIG00","2012-10-01 11:09:01 AM","2012-10-01 11:09:08 AM","0.12"
"E","MGRE00","2012-10-01 11:10:02 AM","2012-10-01 11:10:04 AM","0.03"
"E","TCRE00","2012-10-01 11:10:44 AM","2012-10-01 11:10:47 AM","0.05"
"E","RUTH00","2012-10-01 11:11:16 AM","2012-10-01 11:11:11 AM","-0.08"
"E","BOIS00","2012-10-01 11:12:26 AM","2012-10-01 11:12:18 AM","-0.13"
"E","BLTE00","2012-10-01 11:12:59 AM","2012-10-01 11:13:41 AM","0.7"
"E","VSNA00","2012-10-01 11:13:40 AM","2012-10-01 11:14:47 AM","1.12"
"E","BISE00","2012-10-01 11:15:33 AM","2012-10-01 11:17:14 AM","1.68"
"E","BOCA00","2012-10-01 11:17:20 AM","2012-10-01 11:18:25 AM","1.08"
"E","BELL00","2012-10-01 11:18:25 AM","2012-10-01 11:19:21 AM","0.93"
"E","CLGE00","2012-10-01 11:19:20 AM","2012-10-01 11:20:14 AM","0.9"
"E","RSMA00","2012-10-01 11:20:10 AM","2012-10-01 11:20:57 AM","0.78"
"E","SVON00","2012-10-01 11:20:36 AM","2012-10-01 11:21:27 AM","0.85"
"E","GAIU00","2012-10-01 11:21:14 AM","2012-10-01 11:22:19 AM","1.08"
"E","CIPO00","2012-10-01 11:22:20 AM","2012-10-01 11:23:23 AM","1.05"
"E","PPAL00","2012-10-01 11:23:00 AM","2012-10-01 11:24:09 AM","1.15"
"E","NAIS00","2012-10-01 11:24:02 AM","2012-10-01 11:25:07 AM","1.08"
"E","MARG00","2012-10-01 11:24:36 AM","2012-10-01 11:25:46 AM","1.17"
"E","ANRS00","2012-10-01 11:25:40 AM","2012-10-01 11:26:55 AM","1.25"
"E","CRBS00","2012-10-01 11:26:43 AM","2012-10-01 11:27:45 AM","1.03"
"E","CHVA00","2012-10-01 11:27:19 AM","2012-10-01 11:28:22 AM","1.05"
"E","SSCH00","2012-10-01 11:28:13 AM","2012-10-01 11:29:32 AM","1.32"
"E","GRAV00","2012-10-01 11:28:46 AM","2012-10-01 11:30:06 AM","1.33"
"E","VLLA00","2012-10-01 11:29:48 AM","2012-10-01 11:30:49 AM","1.02"
"E","TRIZ00","2012-10-01 11:30:35 AM","2012-10-01 11:31:20 AM","0.75"
"E","HERM00","2012-10-01 11:31:40 AM","2012-10-01 11:32:01 AM","0.35"
"E","HERM00","2012-10-01 11:37:00 AM","2012-10-01 11:36:55 AM","-0.08"
"E","TRIZ01","2012-10-01 11:38:14 AM","2012-10-01 11:38:07 AM","-0.12"
"E","VLLA01","2012-10-01 11:39:16 AM","2012-10-01 11:38:46 AM","-0.5"
"E","GRAV01","2012-10-01 11:40:17 AM","2012-10-01 11:39:33 AM","-0.73"
"E","SSCH01","2012-10-01 11:40:57 AM","2012-10-01 11:40:21 AM","-0.6"
"E","CHVA01","2012-10-01 11:42:15 AM","2012-10-01 11:41:17 AM","-0.97"
"E","CRBS01","2012-10-01 11:42:55 AM","2012-10-01 11:41:52 AM","-1.05"
"E","ANRS01","2012-10-01 11:44:00 AM","2012-10-01 11:43:00 AM","-1.0"
"E","MARG01","2012-10-01 11:45:08 AM","2012-10-01 11:44:17 AM","-0.85"
"E","NAIS01","2012-10-01 11:45:44 AM","2012-10-01 11:45:06 AM","-0.63"
"E","PPAL01","2012-10-01 11:46:55 AM","2012-10-01 11:46:06 AM","-0.82"
